instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
SBIAMC - SBIETFQLTY,NSE_EQ|INF200KA1WX6,Monthly,2025-09-01,219.25,235.22,219.25,226.92,40183.0,0.0,45.082417582417584
NARMADA AGROBASE LIMITED,NSE_EQ|INE117Z01011,Monthly,2025-09-01,21.17,25.5,21.1,24.21,3882190.0,0.0,54.47880140261397
HEADS UP VENTURES LIMITED,NSE_EQ|INE759V01019,Monthly,2025-09-01,10.45,11.76,9.8,10.92,461327.0,0.0,41.38211382113822
MUNJAL AUTO IND. LTD.,NSE_EQ|INE672B01032,Monthly,2025-09-01,87.25,99.2,85.42,90.38,7622253.0,0.0,41.83673469387755
ORIENT PRESS LIMITED,NSE_EQ|INE609C01024,Monthly,2025-09-01,87.5,93.49,84.9,84.94,156471.0,0.0,42.13513808536186
MCLEOD RUSSEL INDIA LTD.,NSE_EQ|INE942G01012,Monthly,2025-09-01,38.02,40.9,36.5,36.71,7169412.0,0.0,57.59572573463936
DYNACONS SYS & SOLN LTD,NSE_EQ|INE417B01040,Monthly,2025-09-01,984.55,1009.85,959.0,966.2,277881.0,0.0,34.45560684224817
TATAAML-TATSILV,NSE_EQ|INF277KA1984,Monthly,2025-09-01,11.79,13.85,11.63,13.0,182126672.0,0.0,79.625
NTPC LTD,NSE_EQ|INE733E01010,Monthly,2025-09-01,328.0,340.35,323.65,339.2,124962237.0,0.0,34.565916398713824
DEN NETWORKS LTD,NSE_EQ|INE947J01015,Monthly,2025-09-01,35.17,37.35,34.9,35.97,5464299.0,0.0,20.65689467969598
DSPAMC - DSPQ50ETF,NSE_EQ|INF740KA1QL0,Monthly,2025-09-01,243.62,259.02,243.54,252.93,124603.0,0.0,47.76823055280967
AARTI SURFACTANTS LIMITED,NSE_EQ|INE09EO01013,Monthly,2025-09-01,469.45,510.0,452.0,484.85,62623.0,0.0,41.03476151980598
STAR CEMENT LIMITED,NSE_EQ|INE460H01021,Monthly,2025-09-01,285.6,308.95,267.0,270.4,6131196.0,0.0,61.869880277252676
HIND RECTIFIER LIMITED,NSE_EQ|INE835D01023,Monthly,2025-09-01,1500.0,1794.0,1500.0,1705.2,871496.0,0.0,66.43875824441452
HATHWAY CABLE & DATACOM,NSE_EQ|INE982F01036,Monthly,2025-09-01,14.58,15.25,14.4,14.86,25723400.0,0.0,20.661157024793397
ISGEC HEAVY ENG LTD,NSE_EQ|INE858B01029,Monthly,2025-09-01,980.0,1047.0,948.8,957.0,426803.0,0.0,28.603221704111917
NELCO LTD,NSE_EQ|INE045B01015,Monthly,2025-09-01,805.6,938.95,800.0,877.45,2986797.0,0.0,49.9590219915312
MOTILALAMC - MOHEALTH,NSE_EQ|INF247L01BB1,Monthly,2025-09-01,43.13,46.75,43.13,45.59,730723.0,0.0,60.1811906816221
GARWARE HI-TECH FILMS LTD,NSE_EQ|INE291A01017,Monthly,2025-09-01,2718.0,3577.0,2709.0,3304.2,1161278.0,0.0,54.45379262467147
