instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Trade_Type,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Since_Entry
IIFL FINANCE LIMITED,NSE_EQ|INE530B01024,Weekly,2025-06-16,469.0,494.8,460.45,474.7,14076041.0,0.0,416.6962046435635,410.07392762602774,11 x 51,Golden,Long,2025-06-16,474.7,,,99
IFCI LTD,NSE_EQ|INE039A01010,Weekly,2025-06-02,67.65,69.69,64.75,66.03,138968021.0,0.0,52.8137870761617,51.91913424661729,11 x 51,Golden,Long,2025-06-02,66.03,,,113
IFB AGRO INDUSTRIES LTD,NSE_EQ|INE076C01018,Weekly,2025-05-26,541.9,718.0,526.4,703.0,508308.0,0.0,533.3304959835964,525.4317899600912,11 x 51,Golden,Long,2025-05-26,703.0,,,120
MIRAEAMC - BANKPSU,NSE_EQ|INF769K01LZ4,Weekly,2025-05-26,67.78,70.21,67.0,69.94,124140.0,0.0,65.07256457683376,64.47719134093336,11 x 51,Golden,Long,2025-05-26,69.94,,,120
DATA PATTERNS INDIA LTD,NSE_EQ|INE0IX101010,Weekly,2025-05-26,2730.0,2930.0,2717.8,2848.2,6104327.0,0.0,2330.764002072516,2262.112737318274,11 x 51,Golden,Long,2025-05-26,2848.2,,,120
GILLETTE INDIA LTD,NSE_EQ|INE322A01010,Weekly,2025-05-19,8612.0,8919.0,8443.0,8754.5,115211.0,0.0,8246.799682847768,8193.172185898939,11 x 51,Golden,Long,2025-05-19,8754.5,,,127
MANGALAM ORGANICS LIMITED,NSE_EQ|INE370D01013,Weekly,2025-05-19,575.0,628.0,558.0,568.2,129151.0,0.0,452.27898799048654,439.7396965344155,11 x 51,Golden,Long,2025-05-19,568.2,,,127
HDFCAMC - HDFCBSE500,NSE_EQ|INF179KC1EZ4,Weekly,2025-05-12,35.5,36.79,35.12,36.6,148250.0,0.0,34.74733153723451,34.571728372628186,11 x 51,Golden,Long,2025-05-12,36.6,,,134
ICICIPRAMC - ICICI500,NSE_EQ|INF109KC1V59,Weekly,2025-05-12,36.66,38.55,36.66,38.48,6291854.0,0.0,36.47206774255308,36.228369133934116,11 x 51,Golden,Long,2025-05-12,38.48,,,134
BHARAT PETROLEUM CORP  LT,NSE_EQ|INE029A01011,Weekly,2025-04-28,293.1,322.45,293.1,311.15,53113841.0,0.0,286.3985175177558,285.7144288503086,11 x 51,Golden,Long,2025-04-28,311.15,,,148
NIVA BUPA HEALTH INS CO L,NSE_EQ|INE995S01015,Weekly,2025-04-21,75.8,89.5,75.8,84.62,57768245.0,0.0,77.11645749678469,76.23876404900878,11 x 51,Golden,Long,2025-04-21,84.62,,,155
HDFCAMC - HDFCSENSEX,NSE_EQ|INF179KC1HX2,Weekly,2025-04-21,88.19,89.48,87.1,88.44,252782.0,0.0,85.86392491602001,85.47817412699258,11 x 51,Golden,Long,2025-04-21,88.44,,,155
ICICIPRAMC - EVIETF,NSE_EQ|INF109K1A153,Weekly,2025-04-21,26.5,29.22,26.0,26.98,761101.0,0.0,26.48,26.403076923076924,11 x 51,Golden,Long,2025-04-21,26.98,,,155
SBIAMC - SBIBPB,NSE_EQ|INF200KB1712,Weekly,2025-04-15,37.3,37.78,36.0,37.66,9279.0,0.0,36.53083333333334,36.470337960855716,11 x 51,Golden,Long,2025-04-15,37.66,,,161
HDFC LIFE INS CO LTD,NSE_EQ|INE795G01014,Weekly,2025-04-01,683.0,701.75,675.0,689.05,12888820.0,0.0,652.2158767194501,648.3287836148502,11 x 51,Golden,Long,2025-04-01,689.05,,,175
TATAAML - NPBET,NSE_EQ|INF277K010X4,Weekly,2025-03-24,263.28,272.7,261.47,264.76,12113.0,0.0,254.7959248525909,254.1573870492258,11 x 51,Golden,Long,2025-03-24,264.76,,,183
EMS LIMITED,NSE_EQ|INE0OV601013,Weekly,2025-03-24,667.75,688.0,614.4,618.2,1901570.0,0.0,680.6132638085135,682.9479361057136,11 x 51,Death,Short,2025-03-24,618.2,,,183
